id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
747,while she watching the river a fish said to her stay away,while she watching the river she saw a fish jumping,fish have no ability to talk,Fish cannot talk,Fish can't talk,fish is always seen in river,people like to eat fish,fish have no ability to talk,2
748,He slept in the freezer,He slept in the bed,A freezer is too small to fit a human and too cold to be comfortable for sleeping,A man is too big for the freezer.,A freezer is too cold to sleep in,A freezer is too small to fit a human and too cold to be comfortable for sleeping,A freezer doesn't have enough pillows,A freezer doesn't have a nightlight.,0
749,The last thing you do when you take a course is have an introduction,The last thing you do when you take a course is take an exam,introduction is the taken at the beginning of a course,An introduction is the first thing students encounter in a any course of study.,The introduction is the first thing.,some courses don't have introductions,introduction to a course can be dull and not stimulating,introduction is the taken at the beginning of a course,2
750,Sally eats her own paper to pass the class.,Sally writes her own paper to pass the class.,A human does not eat paper.,Eating a paper would not help pass a class.,paper is not an edible item,Paper can be edible if you make it that way.,A human does not eat paper.,Sally loves to eat while writing her paper so she will pass the class.,1
751,Children play soccer with a gerbil,Children play soccer with a ball,A ball is a toy children can kick around,gerbil is a small mammal.,A gerbil is a pet and not a ball,a gerbil looks like a ball,A ball is a toy children can kick around,balls are furry like a gerbil,1
752,she had stone with her to eat,she had potato with her to eat,stone cannot be eaten,A stone isn't edible,A stone cannot be used to eat.,stone can be available easily,stone cannot be eaten,stone is heavy to lift,1
753,The dog fell in the tea cup,the house fly fell in the tea cup,Dog is too big than the tea cup,The dog is too big to the tea cup.,A dog is too big to fall in a tea cup,Dog has four legs and tea cup is round in shape,Dog is too big than the tea cup,Dog barks and tea tastes good,1
754,He won the whole universe.,He just won 100 dollars.,Universe cannot be won.,You cannot own the whole universe,The universe isn't a tangible reward.,Universe is wide while winning a 100 dollars is a great luck.,Universe cannot be won.,Universe cannot eat dollars.,1
755,Sue likes to wear boxes to the beach,Sue likes to wear shoes to the beach,You do not wear boxes to the beach,BOXES IS NOT A SHOES,A box is not footwear or an article of clothing.,You do not wear boxes to the beach,It is fun to bring a box to the beach and use it to put shells in,Sue lives on the beach,0
756,Barbie is RObots girl.,Barbie is kens girl.,Barbie is known to be kens partner,RObots is not a toy.,Barbie does not associate with robots,Barbie can have a robot in the futuristic Barbie.,Ken and Barbie make the perfect couple.,Barbie is known to be kens partner,2
757,The plant grows on pluto.,The plant grows on earth.,Plants only grown on earth not other planets.,Pluto cannot support life,pluto is a planet without oxygen,Plants on earth can grown in random climate weathers.,Pluto does not contain any life but one day plants will grow there.,Plants only grown on earth not other planets.,2
758,he drove a baby,he drove a car,you can't drive a person,baby is not vehicle,You drive a car,babies are usually people while cars are machines,a baby does not have an engine,you can't drive a person,2
759,She lit herself a candy bar.,She lit herself a cigarette.,You can't smoke a candy bar.,A candy bar isn't something you light,You do not set fire to food,You can't smoke a candy bar.,"Candy bars have chocolate in them, cigarettes have tobacco.",Candy bars don't have tobacco in them.,0
760,Susie eats hair for a living.,Susie cuts hair for a living.,It is impossible for susie to eat hair.,Hair is not meant to be eaten,You cannot make a living out of eating hair.,Eating hair is unnatural and is known a disease.,It is impossible for susie to eat hair.,Susue cutting hair is for a charity she supports for cancer.,1
761,He took spoon for headache,He took tablet for headache,spoon is an utensil and does not treat disease,You cannot swallow a spoon,Spoons are utensils used to eat with.,spoon is an utensil and does not treat disease,Spoon is made of steel and is easily gets rusted,Spoon is hard to digest,0
762,You can use a car to fly,You can use a car to go places,cars do not fly,We do not use cars to fly.,You drive a car and fly an airplane,cars are red and going places is fun,cars do not fly,a blue car is pretty and going places is hard,1
763,I put the books in the washing machine.,I put the clothes in the washing machine.,We don't wash books ever.,A book would be ruined in the washing machine.,The books would get wet in the washing machine.,Machines for washing books may not be available.,We don't wash books ever.,Books may become clean after washing.,1
764,When you are sick you go to a lawyer,When you are sick you go to a doctor,Lawyers deal with legal matter,Lawyer cannot do health checkup and prescribe medicines.,A lawyer does not treat sickness,Lawyers wear black coats,Lawyers deal with court and cases,Lawyers deal with legal matter,2
765,He bought a truck at the local grocery store.,He bought a pack of apples at the local grocery store.,Grocery stores don't sell trucks.,A grocery store does not sell trucks,Trucks aren't grocery,Grocery stores don't sell trucks.,A truck can't usually go through a grocery store's door.,Trucks are more expensive than what's usually sold at grocery stores.,0
766,"A child Might call her father ""Bro""","A child might call her father ""Papa""","A child will call only her brother as ""Bro""",Bro is not a word to call father.,father called as papa,"A child will call only her brother as ""Bro""",A child is a sister for her brother for the same father,A sister cannot be born to a brother,0
767,Killing people is a very common hobby,Reading books is a very common hobby,killing people is morally wrong and against the law,Killing people is a crime,Murder is quite rare.,Killing people is expensive,Killing people takes too much time,killing people is morally wrong and against the law,2
768,Fishing roads are used to catch bears,Fishing roads are used to catch fish,Bears inhabit land areas whereas fish are in the water,Fishing rods are too small and flimsy to hold a bear.,Bear traps catch bears.,Bears can be caught by other artifacts,Fish is smaller than bears and they are animals,Bears inhabit land areas whereas fish are in the water,2
